"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"SVEDALA","423","730","1169","5,02","31","6","1","0,13","0,26","9,73","0,03"
"SVENLJUNGA","164","225","410","3,79","0","0","0","0","0","6,16","0"
"SÄFFLE","259","135","414","2,72","18","5","1","0,12","0,2","4,41","0,04"
"SÄTER","159","215","388","3,44","8","3","1","0,07","0,12","5,38","0,02"
"SÄVSJÖ","172","207","389","3,3","12","6","0","0,1","0,18","5,78","0,03"
"SÖDERHAMN","378","432","852","3,37","56","9","7","0,22","0,39","5,66","0,07"
"SÖDERKÖPING","291","360","671","4,52","59","17","1","0,4","0,73","8,01","0,09"
"SÖDERTÄLJE","5638","8814","15466","15,1","230","36","10","0,22","0,47","29,25","0,01"
"SÖLVESBORG","285","339","648","3,7","53","12","3","0,3","0,53","6,22","0,08"
"TANUM","204","381","607","4,66","103","8","2","0,79","1,3","7,36","0,17"
"TIBRO","170","217","393","3,45","63","12","2","0,55","1","6,15","0,16"
"TIDAHOLM","152","230","418","3,26","11","3","1","0,09","0,15","5,09","0,03"
"TIERP","215","316","563","2,63","25","7","2","0,12","0,22","4,69","0,04"
"TIMRÅ","264","301","582","3,28","32","11","1","0,18","0,31","5,51","0,05"
"TINGSRYD","211","219","454","3,69","72","14","2","0,59","0,97","5,82","0,16"
"TJÖRN","283","581","886","5,44","26","4","0","0,16","0,27","9,08","0,03"
"TOMELILLA","251","305","592","4,29","10","2","0","0,07","0,13","6,96","0,02"
"TORSBY","184","134","328","2,87","125","22","7","1,1","1,6","4,06","0,38"
"TORSÅS","89","104","199","2,83","10","2","0","0,14","0,23","4,39","0,05"
"TRANEMO","232","275","530","4,44","11","6","1","0,09","0,16","7,28","0,02"
"TRANÅS","390","389","832","4,42","23","6","4","0,12","0,25","8,37","0,03"
"TRELLEBORG","738","1077","1859","3,99","69","14","2","0,15","0,29","7,66","0,04"
"TROLLHÄTTAN","1341","2120","3652","6,16","351","30","3","0,59","1,26","12,43","0,1"
"TROSA","317","464","805","5,45","52","14","0","0,35","0,7","10,57","0,06"
"TYRESÖ","1132","1265","2482","5,04","37","11","4","0,08","0,21","13,34","0,01"
"TÄBY","4039","5592","9819","13,07","177","20","9","0,24","0,57","30,87","0,02"
"TÖREBODA","145","133","301","3,28","29","7","1","0,32","0,54","5,2","0,1"
"UDDEVALLA","1248","2250","3642","6,36","221","44","7","0,39","0,76","12,04","0,06"
"ULRICEHAMN","491","693","1210","4,82","110","20","8","0,44","0,75","8,07","0,09"
